brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
比亚迪,海鸥,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/57f96638e8d34ce282039ad70270aa98~tplv-resize:640:0.png,51288,"[6.98, 8.58]",比亚迪,1,小型车,纯电动,2024.08,6年或15万公里
比亚迪,秦L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/433b1c61fd5645379d4a1e83591fa3e1~tplv-resize:640:0.png,39316,"[9.98, 13.98]",比亚迪,2,中型车,插电式混合动力,2024.05,6年或15万公里
比亚迪,海豹06,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e65fdc8293d04063bc07ed05198a2c83~tplv-resize:640:0.png,38069,"[9.98, 13.98]",比亚迪,3,中型车,插电式混合动力,2024.05,6年或15万公里
特斯拉,Model Y,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/60b8a92b0b304e60a4d0e8bc2f4f2272~tplv-resize:640:0.png,36204,"[24.99, 35.49]",特斯拉中国,4,中型SUV,纯电动,2024.02,4年或8万公里
五菱汽车,五菱宏光MINIEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,34185,"[1.98, 9.99]",上汽通用五菱,5,微型车,纯电动,2024.08,3年或12万公里
大众,朗逸,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ac798c1f36aa4d3fa143506e3a050852~tplv-resize:640:0.png,32365,"[7, 11.19]",上汽大众,6,紧凑型车,汽油,2024.10,3年或10万公里
日产,轩逸,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,31942,"[7.06, 14.49]",东风日产,7,紧凑型车,汽油,2024.01,3年或10万公里
比亚迪,元PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0a5a6f5f1e4e417f823a51d894fa7345~tplv-resize:640:0.png,28676,"[11.98, 14.78]",比亚迪,8,紧凑型SUV,纯电动,2024.03,6年或15万公里
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,27431,"[7.98, 12.58]",比亚迪,9,紧凑型车,插电式混合动力,2024.02,6年或15万公里
比亚迪,宋PLUS DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f8cbeac5dfe64f538702a05236429100~tplv-resize:640:0.png,26364,"[12.98, 17.58]",比亚迪,10,紧凑型SUV,插电式混合动力,2024.07,6年或15万公里
理想汽车,理想L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/70084ec6188c457d81e000f310d9af9b~tplv-resize:640:0.png,25814,"[24.98, 27.98]",理想汽车,11,中大型SUV,增程式,2024.04,5年或10万公里
比亚迪,宋L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6dfaee65baf84590a77bc404502b8332~tplv-resize:640:0.png,25198,"[13.58, 17.58]",比亚迪,12,中型SUV,插电式混合动力,2024.07,6年或15万公里
吉利汽车,星越L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4dd97d3f2208484092fbb293865ee06b~tplv-resize:640:0.png,24465,"[12.22, 17.02]",吉利汽车,13,紧凑型SUV,汽油,2024.10,4年或10万公里
五菱汽车,五菱缤果,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8a82589d0fbf4119a29b97b77dc96d62~tplv-resize:640:0.png,24106,"[4.98, 8.08]",上汽通用五菱,14,小型车,纯电动,2024.06,3年或10万公里
大众,帕萨特,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b4285df0389c47399c7f0fa8d52a8334~tplv-resize:640:0.png,23973,"[14.99, 22.39]",上汽大众,15,中型车,汽油,2024.09,3年或10万公里
大众,速腾,https://p9-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,22822,"[7.99, 12.49]",一汽-大众,16,紧凑型车,汽油,2024.10,3年或10万公里
比亚迪,宋Pro DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d4206d61f79e47bc81a222040fae2b35~tplv-resize:640:0.png,22615,"[10.98, 14.98]",比亚迪,17,紧凑型SUV,插电式混合动力,2024.09,6年或15万公里
比亚迪,驱逐舰05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fdd396bacd4e433699c66a8dc73db8db~tplv-resize:640:0.png,22055,"[7.98, 12.88]",比亚迪,18,紧凑型车,插电式混合动力,2024.02,6年或15万公里
奇瑞,瑞虎8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/354a435603774a3fbad888822c85ad30~tplv-resize:640:0.png,21625,"[8.99, 13.99]",奇瑞汽车,19,中型SUV,汽油,2024.09,3年或10万公里
